stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_h_17,navier_stokes,180,122,8.186753570085004,36.55975341796875,0.0,0
sc_h_17,lama_manual_mask,180,122,9.856637257892038,27.32830810546875,0.4658096730709076,1
sc_h_17,lama_dilated,180,122,8.23518669315131,25.58026123046875,0.0,0
sc_h_17,lama_auto,180,122,7.083417912297346,24.68377685546875,0.0,0
sc_h_18,raw,173,112,12.697424311221893,36.95233154296875,2.0952789344483636,4
sc_h_18,telea,173,112,7.973285306903851,17.52557373046875,0.0,0
sc_h_18,navier_stokes,173,112,6.469313135444408,24.08416748046875,0.0,0
sc_h_18,lama_manual_mask,173,112,8.661347288225942,23.25115966796875,0.4961972342271218,1
sc_h_18,lama_dilated,173,112,7.981196194209436,14.91522216796875,0.0,0
sc_h_18,lama_auto,173,112,7.76274101089447,19.09100341796875,0.0,0
sc_h_19,raw,117,96,10.704530407248253,42.00213623046875,1.1726903539135107,2
sc_h_19,telea,117,96,8.424610137509584,40.79022216796875,0.0,0
sc_h_19,navier_stokes,117,96,8.590394025016076,43.17987060546875,0.0,0
sc_h_19,lama_manual_mask,117,96,7.186783218928062,34.40936279296875,0.0,0
sc_h_19,lama_dilated,117,96,8.406524570077067,40.21990966796875,0.0,0
sc_h_19,lama_auto,117,96,9.1657417706088,40.95623779296875,0.6565936323980983,1
sc_h_20,raw,156,114,8.096012029146479,38.94354248046875,2.8000367921512237,4
sc_h_20,telea,156,114,9.410053638888744,50.89471435546875,0.0,0
sc_h_20,navier_stokes,156,114,8.650121593401273,44.62225341796875,0.0,0
sc_h_20,lama_manual_mask,156,114,7.786390735173616,39.20233154296875,0.0,0
sc_h_20,lama_dilated,156,114,7.376657692794536,36.72674560546875,0.0,0
sc_h_20,lama_auto,156,114,7.026239712483834,35.81072998046875,0.0,0
sc_h_21,raw,168,116,7.664753051369903,24.86346435546875,1.6708106613383222,3
sc_h_21,telea,168,116,6.19926499231404,22.89471435546875,0.0,0
